model,method,outcome,count,n,fraction
Salman2020Do_R18,SimBA,OT wins,5,11,0.45454545454545453
Salman2020Do_R18,SimBA,Tie,2,11,0.18181818181818182
Salman2020Do_R18,SimBA,Oracle wins,4,11,0.36363636363636365
Salman2020Do_R18,SquareAttack,OT wins,9,34,0.2647058823529412
Salman2020Do_R18,SquareAttack,Tie,17,34,0.5
Salman2020Do_R18,SquareAttack,Oracle wins,8,34,0.23529411764705882
Salman2020Do_R50,SimBA,OT wins,6,13,0.46153846153846156
Salman2020Do_R50,SimBA,Tie,4,13,0.3076923076923077
Salman2020Do_R50,SimBA,Oracle wins,3,13,0.23076923076923078
Salman2020Do_R50,SquareAttack,OT wins,7,29,0.2413793103448276
Salman2020Do_R50,SquareAttack,Tie,20,29,0.6896551724137931
Salman2020Do_R50,SquareAttack,Oracle wins,2,29,0.06896551724137931
Overall,All,OT wins,27,87,0.3103448275862069
Overall,All,Tie,43,87,0.4942528735632184
Overall,All,Oracle wins,17,87,0.19540229885057472
